Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,AIAN,Asian,Black,Highly.Rural,Hispanic,Men,Missing,Mood.Anxiety,Multirace,NHOPI,No.Mental.Health,Other.Mental.Health,Other.Rural,PTSD,Serious.Mental.Illness,Substance.Abuse,Unknown,Urban,White,Women,X18.44,X45.64,X65.,X65.74,X75.84,X85.
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,OTHER,Effects of surgical procedures or medical care ,570,427,15002,NA,4575,NA,NA,NA,658,555,NA,NA,NA,NA,NA,NA,1471,NA,68448,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,OTHER,Housing insufficiency ,1742,912,68323,NA,10804,NA,NA,NA,1782,1023,NA,NA,NA,NA,NA,NA,6020,NA,85894,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,OTHER,Psychosocial factors - Other ,2714,2795,90627,NA,26531,NA,NA,NA,3140,2606,NA,NA,NA,NA,NA,NA,9093,NA,220908,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,OTHER,Residual Codes ,3878,5142,142855,NA,41602,NA,NA,NA,5069,4973,NA,NA,NA,NA,NA,NA,15333,NA,525183,NA,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,A1. Distribution of Sex among FY13 Veteran VHA Patients,Sex (Overall),Overall,NA,Overall,NA,NA,NA,NA,NA,5268290,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382546,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,NA,18-44,NA,NA,NA,NA,NA,736001,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162291,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,NA,45-64,NA,NA,NA,NA,NA,1958728,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175303,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,NA,65+,NA,NA,NA,NA,NA,2573299,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44742,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,AI/AN,NA,NA,NA,NA,NA,27843,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3049,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,Asian,NA,NA,NA,NA,NA,41822,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4130,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,Black/African American,NA,NA,NA,NA,NA,769656,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103644,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,NH/OPI,NA,NA,NA,NA,NA,32188,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3115,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,White,NA,NA,NA,NA,NA,3906882,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215779,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,Hispanic,NA,NA,NA,NA,NA,279739,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23536,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,Multi-race,NA,NA,NA,NA,NA,30211,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3905,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,NA,Unknown,NA,NA,NA,NA,NA,179949,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25388,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,NA,Highly Rural,NA,NA,NA,NA,NA,70801,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3694,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,NA,Other Rural,NA,NA,NA,NA,NA,1926636,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104319,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,NA,Urban,NA,NA,NA,NA,NA,3250172,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270892,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13  ",Sex by Service-Connected Status,Service Connection,NA,No SC,NA,NA,NA,NA,NA,2747710,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154601,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13  ",Sex by Service-Connected Status,Service Connection,NA,SC 0-49,NA,NA,NA,NA,NA,1210696,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102160,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13  ",Sex by Service-Connected Status,Service Connection,NA,SC 50-99,NA,NA,NA,NA,NA,947356,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101607,NA,NA,NA,NA,NA,NA
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13  ",Sex by Service-Connected Status,Service Connection,NA,SC 100,NA,NA,NA,NA,NA,358868,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23153,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,0 encounters,NA,NA,NA,NA,NA,134389,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9146,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,1 encounter,NA,NA,NA,NA,NA,290549,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17651,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,NA,NA,NA,NA,NA,392121,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21483,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,NA,NA,NA,NA,NA,992332,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58140,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,NA,NA,NA,NA,NA,1216535,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83073,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,NA,NA,NA,NA,NA,2242364,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193053,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,NA,NA,NA,NA,NA,675959,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51051,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,NA,NA,NA,NA,NA,1593758,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97913,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,NA,NA,NA,NA,NA,1166640,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78060,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,NA,NA,NA,NA,NA,1351567,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112335,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,NA,NA,NA,NA,NA,380460,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37081,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Sex by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,NA,NA,NA,NA,NA,99906,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6106,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,NA,NA,NA,NA,NA,3989184,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236515,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,NA,NA,NA,NA,NA,295258,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29687,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,NA,NA,NA,NA,NA,197095,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19897,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,NA,NA,NA,NA,NA,344853,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37517,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,NA,NA,NA,NA,NA,212051,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28484,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,NA,NA,NA,NA,NA,229849,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30446,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,NA,NA,NA,NA,NA,4329385,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292368,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,NA,NA,NA,NA,NA,530199,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50442,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,NA,NA,NA,NA,NA,202663,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,NA,NA,NA,NA,NA,163440,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15819,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,NA,NA,NA,NA,NA,37154,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3422,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,NA,NA,NA,NA,NA,5449,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,0 encounters,NA,NA,NA,NA,NA,2303099,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133765,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,1 encounter,NA,NA,NA,NA,NA,1006495,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72205,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,2 encounters,NA,NA,NA,NA,NA,564195,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45934,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,NA,NA,NA,NA,NA,751534,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68538,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,NA,NA,NA,NA,NA,410743,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41071,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13 ",Sex by Telephone Visits,Encounters,Telephone Visits,12+ encounters,NA,NA,NA,NA,NA,232224,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21033,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,NA,NA,NA,NA,NA,5268290,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382546,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,NA,NA,NA,NA,NA,4391902,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262360,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,NA,NA,NA,NA,NA,157471,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12266,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,NA,NA,NA,NA,NA,121589,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24453,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,NA,NA,NA,NA,NA,157269,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30889,NA,NA,NA,NA,NA,NA
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,NA,NA,NA,NA,NA,124428,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18617,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,INFECTIOUS DISEASE,NA,NA,NA,NA,NA,315631,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33961,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,ENDOCRINE/METABOLIC/NUTRITIONAL,NA,NA,NA,NA,NA,1094018,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107168,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,CARDIOVASCULAR ,NA,NA,NA,NA,NA,3400642,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195143,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,RESPIRATORY,NA,NA,NA,NA,NA,3282128,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142182,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,GASTROINTESTINAL,NA,NA,NA,NA,NA,1428745,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121391,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,URINARY,NA,NA,NA,NA,NA,1841616,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118509,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,REPRODUCTIVE HEALTH,NA,NA,NA,NA,NA,870696,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56227,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,BREAST,NA,NA,NA,NA,NA,1266318,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119581,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,CANCER,NA,NA,NA,NA,NA,17336,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25780,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,HEMATOLOGIC/IMMUNOLOGIC,NA,NA,NA,NA,NA,556695,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19264,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,MUSCULOSKELETAL,NA,NA,NA,NA,NA,552908,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36128,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,NEUROLOGIC,NA,NA,NA,NA,NA,2595703,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218308,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,MENTAL HEALTH/SUD,NA,NA,NA,NA,NA,1259908,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113508,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,SENSE ORGAN,NA,NA,NA,NA,NA,1702365,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176764,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,DENTAL,NA,NA,NA,NA,NA,2283225,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121879,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,DERMATOLOGIC,NA,NA,NA,NA,NA,424185,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39305,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13 ",Sex by Domains,Domains,NA,OTHER,NA,NA,NA,NA,NA,1151643,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83347,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13 ",Sex by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS ,NA,NA,NA,NA,NA,25627,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13 ",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,NA,NA,NA,NA,NA,6284,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13 ",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,NA,NA,NA,NA,NA,334124,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14380,NA,NA,NA,NA,NA,NA
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13 ",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,NA,NA,NA,NA,NA,182472,BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15995,NA,NA,NA,NA,NA,NA
